Name,Equities,pct,id,Ranking,Sector1,Sector2,Indice
BNP Paribas Asset Management France SAS,26511434,1,ORANGE-SA,10,Telecommunications Services,Integrated Telecommunications Services - NEC, CAC40
Government of France,575693307,23.6,ENGIE,1,Utilities,Multiline Utilities, CAC40
Engie SA Employee Stock Ownership Plan,78323401,3.22,ENGIE,2,Utilities,Multiline Utilities, CAC40
Caisse Des Dépôts & Consignations (Investment Management),63825744,2.62,ENGIE,3,Utilities,Multiline Utilities, CAC40
Norges Bank Investment Management,55029792,2.26,ENGIE,4,Utilities,Multiline Utilities, CAC40
"The Vanguard Group, Inc.",54671788,2.24,ENGIE,5,Utilities,Multiline Utilities, CAC40
BlackRock Fund Advisors,28495883,1.17,ENGIE,6,Utilities,Multiline Utilities, CAC40
Lyxor International Asset Management SAS,27095029,1.11,ENGIE,7,Utilities,Multiline Utilities, CAC40
Dodge & Cox,25336400,1.04,ENGIE,8,Utilities,Multiline Utilities, CAC40
Lazard Asset Management LLC,23566848,0.97,ENGIE,9,Utilities,Multiline Utilities, CAC40
CNP Assurances SA,23495792,0.96,ENGIE,10,Utilities,Multiline Utilities, CAC40
Dassault Family,106929968,40.7,DASSAULT-SYSTEMES-SE,1,Technology,IT Services & Consulting - NEC, CAC40
Charles Edelstenne,15819585,6.02,DASSAULT-SYSTEMES-SE,2,Technology,IT Services & Consulting - NEC, CAC40
Dassault Systèmes SE,4576358,1.74,DASSAULT-SYSTEMES-SE,3,Technology,IT Services & Consulting - NEC, CAC40
"The Vanguard Group, Inc.",4069344,1.55,DASSAULT-SYSTEMES-SE,4,Technology,IT Services & Consulting - NEC, CAC40
Bernard Charlès,3990441,1.52,DASSAULT-SYSTEMES-SE,5,Technology,IT Services & Consulting - NEC, CAC40
Norges Bank Investment Management,3638589,1.38,DASSAULT-SYSTEMES-SE,6,Technology,IT Services & Consulting - NEC, CAC40
Jupiter Asset Management Ltd.,2974176,1.13,DASSAULT-SYSTEMES-SE,7,Technology,IT Services & Consulting - NEC, CAC40
MFS International (UK) Ltd.,2692425,1.02,DASSAULT-SYSTEMES-SE,8,Technology,IT Services & Consulting - NEC, CAC40
"Scout Investments, Inc.",2073194,0.79,DASSAULT-SYSTEMES-SE,9,Technology,IT Services & Consulting - NEC, CAC40
BlackRock Investment Management (UK) Ltd.,1904467,0.72,DASSAULT-SYSTEMES-SE,10,Technology,IT Services & Consulting - NEC, CAC40
Bolloré SE,320517374,27,VIVENDI-SE,1,Consumer Cyclical,Entertainment Production - NEC, CAC40
Vivendi SA Employees Stock Ownership Plan,31840875,2.69,VIVENDI-SE,2,Consumer Cyclical,Entertainment Production - NEC, CAC40
"The Vanguard Group, Inc.",24460327,2.06,VIVENDI-SE,3,Consumer Cyclical,Entertainment Production - NEC, CAC40
Caisse Des Dépôts & Consignations (Investment Management),22152068,1.87,VIVENDI-SE,4,Consumer Cyclical,Entertainment Production - NEC, CAC40
Lyxor International Asset Management SAS,19369043,1.63,VIVENDI-SE,5,Consumer Cyclical,Entertainment Production - NEC, CAC40
Norges Bank Investment Management,18583610,1.57,VIVENDI-SE,6,Consumer Cyclical,Entertainment Production - NEC, CAC40
Amundi Asset Management SA (Investment Management),15949737,1.35,VIVENDI-SE,7,Consumer Cyclical,Entertainment Production - NEC, CAC40
Fidelity Management & Research Co.,14942286,1.26,VIVENDI-SE,8,Consumer Cyclical,Entertainment Production - NEC, CAC40
Lazard Asset Management LLC,14461397,1.22,VIVENDI-SE,9,Consumer Cyclical,Entertainment Production - NEC, CAC40
Artisan Partners LP,13286723,1.12,VIVENDI-SE,10,Consumer Cyclical,Entertainment Production - NEC, CAC40
Norges Bank Investment Management,10296083,3.86,LEGRAND,1,Industrials,Electrical Components & Equipment - NEC, CAC40
MFS International (UK) Ltd.,10169940,3.81,LEGRAND,2,Industrials,Electrical Components & Equipment - NEC, CAC40
"The Vanguard Group, Inc.",8159200,3.06,LEGRAND,3,Industrials,Electrical Components & Equipment - NEC, CAC40
Massachusetts Financial Services Co.,7880940,2.95,LEGRAND,4,Industrials,Electrical Components & Equipment - NEC, CAC40
Alecta Pension Insurance Mutual,6405208,2.4,LEGRAND,5,Industrials,Electrical Components & Equipment - NEC, CAC40
Fidelity Management & Research Co.,5468443,2.05,LEGRAND,6,Industrials,Electrical Components & Equipment - NEC, CAC40
Flossbach von Storch AG,3863000,1.45,LEGRAND,7,Industrials,Electrical Components & Equipment - NEC, CAC40
BlackRock Fund Advisors,3544136,1.33,LEGRAND,8,Industrials,Electrical Components & Equipment - NEC, CAC40
First Eagle Investment Management LLC,3473579,1.3,LEGRAND,9,Industrials,Electrical Components & Equipment - NEC, CAC40
Baillie Gifford & Co.,2734527,1.02,LEGRAND,10,Industrials,Electrical Components & Equipment - NEC, CAC40
Mage Invest SAS,6903069,3.86,MICHELIN-SCA,1,Consumer Cyclical,Tires & Rubber Products - NEC, CAC40
"The Vanguard Group, Inc.",6254503,3.5,MICHELIN-SCA,2,Consumer Cyclical,Tires & Rubber Products - NEC, CAC40
Norges Bank Investment Management,5207443,2.92,MICHELIN-SCA,3,Consumer Cyclical,Tires & Rubber Products - NEC, CAC40
"Pilgrim Advisors, Inc.",4456805,2.5,MICHELIN-SCA,4,Consumer Cyclical,Tires & Rubber Products - NEC, CAC40
Michelin SCA ESOP,3215296,1.8,MICHELIN-SCA,5,Consumer Cyclical,Tires & Rubber Products - NEC, CAC40
Marathon Asset Management LLP,3058200,1.71,MICHELIN-SCA,6,Consumer Cyclical,Tires & Rubber Products - NEC, CAC40
BNP Paribas Asset Management France SAS,2655378,1.49,MICHELIN-SCA,7,Consumer Cyclical,Tires & Rubber Products - NEC, CAC40
Oddo BHF Asset Management SAS,2542951,1.42,MICHELIN-SCA,8,Consumer Cyclical,Tires & Rubber Products - NEC, CAC40
Amundi Asset Management SA (Investment Management),2322568,1.3,MICHELIN-SCA,9,Consumer Cyclical,Tires & Rubber Products - NEC, CAC40
Wellington Management Co. LLP,2267211,1.27,MICHELIN-SCA,10,Consumer Cyclical,Tires & Rubber Products - NEC, CAC40
STMicroelectronics Holding NV,250704754,27.5,STMICROELECTRONICS,1,Technology,Semiconductors - NEC, CAC40
Capital Research & Management Co. (World Investors),35348740,3.88,STMICROELECTRONICS,2,Technology,Semiconductors - NEC, CAC40
STMicroelectronics N.V.,19752431,2.17,STMICROELECTRONICS,3,Technology,Semiconductors - NEC, CAC40
"The Vanguard Group, Inc.",19146487,2.1,STMICROELECTRONICS,4,Technology,Semiconductors - NEC, CAC40
